# Key,Recommendation_1,Recommendation_2,Recommendation_3,Recommendation_4,Recommendation_5
ce,cat-carros-economicos,cat-carros-esportivos,cat-carros-hibridos,cat-carros-pequenos,cat-carros-eletricos
rs,cat-hatches,cat-carros-para-familia,cat-carros-esportivos,cat-carros-grandes,cat-carros-importados
sp,cat-carros-pequenos,cat-carros-de-7-lugares,cat-primeiro-carro,cat-carros-grandes,cat-carros-antigos
ceara,cat-carros-economicos,cat-carros-esportivos,cat-carros-hibridos,cat-carros-pequenos,cat-carros-eletricos
rio grande do sul,cat-hatches,cat-carros-para-familia,cat-carros-esportivos,cat-carros-grandes,cat-carros-importados
sao paulo,cat-carros-pequenos,cat-carros-de-7-lugares,cat-primeiro-carro,cat-carros-grandes,cat-carros-antigos
